aluminium;ammonia;arsenic;barium;cadmium;chloramine;chromium;copper;flouride;bacteria;viruses;lead;nitrates;nitrites;mercury;perchlorate;radium;selenium;silver;uranium;is_safe
2;90;78;237;9;81;8;3;4;22;9;1;709;183;2;3318;473;1;39;7;0
9;301;9;34;3;112;58;1;74;95;95;1;1619;191;0;4777;25;8;12;7;0
28;2148;24;386;11;304;25;3;143;51;51;1;595;156;5;5922;476;5;4;3;0
23;891;89;136;4;214;27;5;48;43;3;1;249;196;3;4145;207;6;31;3;0
6;1986;7;494;4;692;24;7;35;89;89;1;174;136;1;4618;362;7;23;3;0
8;698;83;121;8;854;44;8;114;41;1;1;302;169;1;5586;354;8;17;5;0
8;298;15;385;1;746;29;5;47;54;54;1;55;261;6;82;8;4;4;3;0
25;2474;74;301;1;767;76;8;10;79;79;1;1139;193;9;4548;705;1;42;6;0
4;121;9;179;4;224;55;5;146;88;88;1;1738;116;6;268;262;4;38;5;0
4;1059;14;157;8;527;76;9;89;21;2;1;1635;128;4;906;38;1;22;3;0
1;2;49;245;7;414;61;1;79;15;8;1;85;178;2;982;351;8;21;0;0
1;333;67;21;1;555;52;3;13;12;3;1;739;118;7;351;513;7;44;8;0
8;1938;9;161;6;236;71;1;115;5;5;1;1757;213;6;5409;271;2;34;2;0
33;956;97;262;8;673;47;1;71;99;99;112;1202;166;1;4113;173;0;24;6;0
28;2084;67;222;1;349;15;6;14;55;55;1;1683;172;6;114;42;4;16;4;0
6;1531;102;13;2;806;14;4;25;64;64;1;1388;14;9;403;743;6;8;4;0
15;1796;5;296;8;708;61;7;48;13;1;95;1512;152;2;2161;42;9;8;3;0
1;612;99;97;6;161;74;4;15;9;0;165;1693;158;3;2645;386;1;43;0;0
9;112;62;33;2;771;3;5;138;26;5;33;754;248;7;1143;242;9;26;2;0
2;2286;66;91;3;314;65;3;49;97;97;163;1776;141;2;1984;127;1;15;6;0
5;1881;82;81;3;314;41;4;104;17;0;2;163;163;5;4811;452;6;45;5;0
21;2442;15;318;2;402;43;4;69;74;74;46;1211;212;3;479;155;1;47;0;0
39;2888;17;258;1;704;32;5;53;35;7;3;732;217;9;2602;494;1;39;9;0
6;1228;83;151;4;279;6;1;115;97;97;15;1326;142;7;1526;7;1;23;7;0
0;1969;48;303;8;223;82;4;69;77;77;52;95;195;2;52;66;1;3;4;0
13;1154;27;459;12;585;64;6;27;42;8;62;533;157;9;1474;776;6;3;9;0
5;1032;57;468;1;695;2;2;73;6;1;157;1092;196;6;2632;134;3;6;4;0
5;1188;81;439;11;643;58;8;4;46;2;89;825;189;0;1664;166;6;33;5;0
2;554;32;429;2;824;49;4;89;78;78;38;224;129;9;306;371;2;36;6;0
1;635;76;371;11;346;55;8;91;75;75;191;141;132;5;5573;5;9;25;2;0
11;288;56;283;11;247;11;1;13;93;93;75;1305;191;8;1646;437;5;22;5;0
6;90;1;195;9;776;76;7;142;8;8;107;1463;22;2;5505;391;8;13;4;0
8;2316;19;385;5;637;73;5;27;88;88;183;861;199;6;1953;324;6;9;7;0
7;1038;16;468;4;58;69;5;21;35;3;16;582;158;1;199;751;4;4;1;0
5;494;14;407;4;444;19;1;75;8;1;34;544;181;8;3924;184;7;14;7;0
5;2415;26;27;12;592;89;5;52;45;8;25;1838;129;9;814;712;9;26;4;0
9;2269;89;79;11;75;62;7;146;84;84;136;1671;188;7;3459;567;6;15;8;0
1;1977;47;32;11;681;84;9;83;7;8;18;105;171;9;3815;215;3;21;4;0
7;847;97;394;9;612;39;3;4;88;88;1;1244;131;1;1302;696;5;3;3;0
1;2909;1;231;4;63;52;4;72;42;4;9;101;165;2;962;51;5;28;9;0
3;1481;47;262;2;637;35;9;54;73;73;126;1156;171;7;4981;79;2;17;6;0
2;2635;4;464;5;804;55;1;148;99;99;162;17;166;3;2298;787;2;31;4;0
6;479;45;306;6;383;4;8;105;57;57;196;758;147;3;3277;643;1;31;8;0
14;1566;83;326;1;63;15;3;116;72;72;156;138;162;1;4941;428;9;34;8;0
6;61;82;159;11;399;38;4;92;44;4;184;104;128;7;4877;407;4;11;8;0
6;2562;24;384;11;666;89;8;127;0;1;117;1378;194;5;2687;406;1;33;3;0
2;255;52;232;9;646;57;5;125;6;5;48;92;208;8;2185;10;8;28;3;0
2;1193;85;389;2;50;71;2;132;86;86;34;395;139;6;5118;716;2;21;9;0
2;879;73;276;2;6;46;5;1;92;92;101;1597;136;7;487;60;1;1;4;0
1;2108;34;79;1;608;85;3;117;26;4;135;1147;237;9;1055;516;6;17;0;0
1;1878;74;336;1;603;3;6;108;41;4;8;1089;203;8;4743;34;8;29;2;0
11;2842;76;453;6;452;31;9;142;97;97;196;587;173;3;1666;291;1;39;1;0
9;221;5;226;12;484;15;4;63;74;74;132;1109;204;9;5751;668;1;11;5;0
4;1359;5;129;1;823;33;3;131;76;76;88;979;117;1;3094;738;1;35;6;0
7;144;38;373;5;453;45;4;105;97;97;1;652;145;6;4422;628;1;42;8;0
1;1949;18;236;13;672;6;1;94;51;51;198;1105;168;8;4413;792;8;9;3;0
4;2354;25;55;4;381;28;2;63;74;74;152;802;193;5;4457;594;7;22;2;0
2;713;10;385;6;40;75;4;18;49;8;4;681;187;7;2843;534;4;3;6;0
4;2372;28;359;8;756;34;1;143;32;7;97;903;165;7;4246;64;5;17;1;0
8;1137;13;289;5;426;6;1;3;18;6;61;146;157;3;2808;506;9;22;4;0
2;2064;85;304;5;434;57;5;7;78;78;196;1056;186;5;4086;23;7;44;3;0
3;2654;65;279;13;73;17;3;11;52;52;18;808;209;1;3604;35;8;22;5;0
13;1548;65;292;13;165;15;8;26;51;51;122;37;22;8;284;391;6;48;4;0
1;195;64;313;6;215;79;0;91;7;7;41;1417;168;5;3625;638;2;34;7;0
25;259;15;178;3;354;24;4;55;38;5;16;405;181;8;421;756;2;47;6;0
2;208;76;259;3;707;25;4;51;93;93;152;1235;152;8;1391;165;4;18;3;0
3;981;43;266;8;672;9;2;56;5;5;96;686;22;2;3504;354;1;5;1;0
6;1947;51;118;7;128;76;7;26;92;92;105;464;182;6;5057;742;1;33;4;0
5;1211;76;384;5;533;84;1;62;72;72;1;1651;221;4;2585;106;6;4;2;0
3;2891;18;224;1;815;36;2;51;71;71;1;1302;163;6;94;764;5;31;3;0
4;297;4;167;2;273;1;8;146;76;76;1;48;168;9;3022;96;7;4;6;0
7;567;15;136;6;536;57;9;62;36;5;1;101;172;3;5285;75;2;9;3;0
9;529;55;365;4;698;21;1;82;1;7;1;736;196;3;3692;587;2;21;7;0
24;176;25;39;4;162;29;1;148;67;67;1;1801;213;2;1494;393;7;31;8;0
2;269;33;426;8;601;72;5;89;84;84;1;946;215;7;2861;577;7;14;3;0
19;2379;74;41;9;166;11;5;106;5;5;1;1582;17;5;3297;552;6;42;9;0
4;851;73;446;4;315;69;5;11;29;0;1;92;203;4;3246;197;7;25;1;0
7;616;38;409;2;29;11;1;131;15;9;1;525;156;8;180;537;2;21;0;0
11;204;34;278;11;59;17;8;103;27;2;1;175;154;6;1862;273;1;34;8;0
8;1857;12;241;12;298;15;9;96;31;9;1;849;169;6;3383;683;7;4;7;0
0;924;14;88;3;77;78;5;132;59;59;1;959;225;5;1996;402;4;3;6;0
4;2389;52;83;3;342;57;0;75;82;82;1;1185;189;6;166;44;8;35;1;0
3;1672;35;119;9;156;48;9;85;19;0;1;133;124;1;1659;517;8;4;5;0
12;2632;87;99;8;713;25;5;7;74;74;1;1529;125;3;3443;263;8;22;6;0
7;764;95;98;7;468;1;7;37;74;74;1;176;216;6;999;91;6;18;3;0
5;613;103;366;5;553;65;3;118;56;56;1;1675;207;3;205;756;1;41;6;0
9;1514;58;108;6;734;49;8;14;94;94;1;5;222;5;977;531;9;13;7;0
14;2873;89;33;11;11;31;6;14;41;8;1;614;217;3;457;352;2;27;8;0
6;2053;6;77;13;542;42;5;126;42;5;1;84;159;8;812;304;5;37;5;0
3;334;65;107;9;562;19;2;143;97;97;1;222;119;2;5093;736;3;1;0;0
1;294;9;253;3;511;4;8;55;14;6;1;1225;161;8;2881;74;3;5;7;0
8;271;4;24;1;671;62;1;92;2;6;1;1391;195;9;3138;512;7;42;4;0
39;1885;56;32;2;695;81;7;78;89;89;1;1807;239;4;5511;769;1;41;9;0
9;1142;87;92;11;355;86;6;138;89;89;1;1437;185;9;341;503;0;49;2;0
6;2182;43;119;2;291;0;0;124;83;83;1;162;163;9;4429;665;1;18;9;0
9;412;72;98;8;465;5;2;13;97;97;1;1227;157;6;431;83;6;23;8;0
1;162;6;89;6;67;2;144;17;99;99;96;1494;195;8;49;341;8;2;3;0
7;37;71;204;4;783;85;3;38;38;6;1;1515;205;7;184;554;7;4;4;0
2;952;56;323;3;611;83;2;64;47;7;1;1846;194;6;4591;284;4;41;6;0
4;1527;41;29;1;245;5;2;11;10;10;1;805;175;3;2854;343;9;1;0;0
8;277;66;143;1;627;28;6;78;54;54;1;894;127;1;2337;17;7;37;5;0
4;2826;33;424;4;6;76;2;34;65;65;1;171;129;3;2901;491;1;36;2;0
0;1045;38;143;5;688;37;4;22;13;4;1;533;126;2;2038;754;0;47;6;0
9;317;8;49;3;15;3;16;15;91;91;1;1466;225;6;243;65;4;7;0;0
1;1507;36;169;12;811;7;9;12;59;59;1;1904;191;7;4463;518;6;7;2;0
7;395;41;349;11;544;56;3;136;82;82;1;1396;142;6;106;376;2;45;6;0
3;2382;36;86;13;785;7;4;43;46;2;1;1648;244;6;229;97;3;23;6;0
9;1749;103;303;1;123;71;3;141;99;99;1;934;14;4;5235;218;4;24;6;0
1;224;5;196;9;453;2;9;5;22;9;1;1812;143;1;4073;427;9;18;3;0
4;286;34;199;6;668;3;2;43;73;73;1;1031;168;9;774;363;2;12;1;0
4;1123;77;51;4;672;63;5;53;43;9;1;71;154;8;186;226;8;32;7;0
38;167;56;245;4;486;16;9;5;52;52;1;1068;188;3;4841;426;5;34;6;0
7;1194;56;371;11;344;32;9;112;41;2;1;739;108;5;3198;534;8;29;0;0
9;2277;7;49;6;41;9;124;14;51;51;32;1874;156;0;497;56;3;8;1;0
3;1238;67;402;1;32;65;9;51;2;8;1;124;122;1;5417;771;8;32;0;0
8;164;38;255;3;251;17;7;117;28;2;1;139;116;9;2392;469;0;28;2;0
1;-8;2;453;9;317;3;8;131;78;78;1;160;161;3;1126;289;5;4;9;0
4;2349;28;427;6;352;11;4;27;26;5;1;1803;211;1;5157;429;2;42;8;0
7;1979;7;162;12;571;44;3;3;56;56;1;1059;253;6;5475;755;6;1;2;0
7;2956;52;169;11;662;64;1;15;1;2;1;44;237;0;5832;82;7;36;0;0
8;2894;96;193;11;342;87;4;43;94;94;1;425;155;3;5699;467;7;27;6;0
21;334;16;265;1;535;37;7;145;49;1;1;1423;186;1;2766;207;4;5;9;0
2;53;7;168;3;7;8;117;9;51;51;13;326;134;1;934;4;0;5;1;0
1;2669;10;433;11;142;12;6;104;29;9;1;1552;171;7;1189;12;2;4;7;0
6;259;35;96;5;33;55;3;49;22;6;151;1469;141;3;3404;216;6;46;5;0
2;1534;66;218;9;691;71;1;15;37;2;85;1915;227;1;118;355;5;18;7;0
9;284;59;396;1;399;63;9;137;31;2;197;1415;12;5;1629;213;9;5;3;0
6;492;1;19;4;49;3;7;119;0;61;164;169;1;1;9;64;0;2;1;0
9;868;9;34;5;41;6;4;14;0;56;13;336;8;9;799;136;5;9;3;0
5;526;8;18;3;11;3;6;5;0;5;196;611;28;4;678;225;7;2;6;0
7;1052;4;18;5;6;5;4;53;0;66;88;776;94;1;133;113;0;4;2;0
9;52;8;179;2;3;6;9;77;0;3;62;1359;38;5;905;58;8;7;8;0
3;486;1;35;5;26;0;2;59;0;65;194;1403;2;8;349;87;9;8;4;0
3;892;7;42;4;11;0;5;63;0;4;162;1563;6;3;342;65;2;9;2;0
3;547;9;271;9;39;1;2;22;0;8;163;1101;95;7;55;169;4;5;6;0
8;1069;5;38;3;5;4;5;55;0;78;118;555;75;3;99;34;4;6;7;0
9;165;5;2;6;6;7;6;129;0;56;26;1708;39;2;958;61;2;8;8;0
3;2391;3;255;3;7;1;4;7;0;77;42;1671;24;9;546;9;5;6;6;0
9;1126;6;22;9;16;2;6;116;0;87;126;1799;17;8;1061;549;3;0;8;0
0;1791;1;25;3;6;5;3;135;0;6;13;1806;16;1;33;172;5;9;7;0
2;2546;5;87;9;1;0;1;15;0;72;13;883;26;8;13;206;6;9;9;0
1;162;2;165;9;9;7;5;106;0;7;69;1178;44;5;311;76;7;8;3;0
8;702;3;1;4;0;9;1;42;0;3;115;558;49;5;263;239;6;5;6;0
8;183;7;53;5;1;6;1;107;0;96;119;1104;27;5;7;37;2;3;2;0
1;724;0;12;5;5;5;8;147;0;58;154;23;69;2;482;77;0;3;4;0
1;2608;3;5;1;26;5;6;143;0;7;152;1318;43;5;22;128;5;5;3;0
9;1496;3;8;1;3;6;1;24;0;7;27;377;59;1;16;7;7;4;6;0
8;1321;6;63;5;18;8;1;109;0;77;158;167;32;4;29;94;5;1;8;0
9;152;3;10;5;1;5;1;82;0;9;154;135;16;9;346;24;3;3;0;0
5;2243;2;8;8;1;9;7;36;0;84;7;85;49;7;100;165;9;8;5;0
7;366;4;75;2;9;8;1;83;0;68;153;498;33;9;164;265;5;3;5;0
6;1044;8;191;1;39;1;2;79;0;59;119;1408;54;1;28;218;8;3;5;0
7;2603;9;228;4;49;9;3;92;0;93;75;1614;25;5;171;496;5;3;7;0
4;34;1;71;1;3;3;1;57;0;5;65;1553;29;8;372;358;3;1;3;0
3;1842;3;91;4;11;1;1;75;0;92;142;714;8;4;1052;49;2;6;9;0
6;2161;0;141;6;17;8;9;34;0;1;8;55;18;9;764;25;3;2;1;0
3;2173;8;6;6;33;4;1;125;0;2;156;785;47;7;1095;4;9;2;4;0
2;2523;9;33;7;8;6;5;5;0;2;18;1088;8;5;71;344;5;5;5;0
4;559;6;4;0;37;9;6;24;0;1;21;115;68;4;114;24;2;1;5;0
3;2085;1;6;4;35;8;4;85;0;56;96;1843;46;3;95;407;2;1;3;0
5;421;5;98;4;3;1;8;21;0;5;106;273;63;1;722;93;6;8;5;0
1;1107;7;5;0;43;2;5;134;0;62;62;1727;68;6;173;115;2;4;6;0
6;859;5;2;8;17;1;8;95;0;3;178;1601;2;4;171;19;2;0;6;0
5;1528;3;14;6;4;1;79;59;49;7;24;389;195;2;245;92;6;9;9;0
0;661;1;211;6;29;4;9;13;0;89;2;973;39;4;2;608;5;5;6;0
6;247;4;5;6;3;7;8;29;0;78;112;244;42;6;47;264;7;7;6;0
7;1746;7;15;9;64;0;3;107;0;4;99;849;7;9;693;161;9;2;9;0
0;2439;2;17;4;3;4;2;6;0;58;35;264;57;7;43;65;1;5;6;0
5;2363;5;56;1;9;6;3;62;0;65;44;694;29;5;1022;66;3;0;2;0
7;2396;8;15;5;21;7;4;109;0;75;85;603;52;9;166;94;5;6;1;0
1;1358;8;28;9;64;2;9;73;0;92;57;669;59;9;1;524;9;8;0;0
8;948;9;38;6;2;2;8;131;0;64;154;948;74;6;56;2;6;3;1;0
0;1943;5;16;6;6;0;0;32;0;64;44;23;95;1;334;332;8;8;5;0
2;2798;8;79;9;2;5;3;101;0;8;52;29;1;4;474;158;8;6;8;0
7;726;1;3;3;22;3;126;133;34;6;164;317;19;0;87;0;1;2;1;0
5;2806;1;284;2;17;0;1;7;0;6;75;747;2;1;123;108;6;3;1;0
0;83;5;79;9;2;6;4;36;0;2;6;1;17;3;467;5;4;0;6;0
8;199;8;235;6;2;4;5;59;0;8;3;128;17;6;77;23;8;7;4;0
6;2787;4;29;9;14;7;8;44;0;2;136;1226;51;4;36;91;9;1;2;0
5;418;2;6;6;3;2;3;128;0;96;4;1054;58;3;204;114;9;6;7;0
5;37;6;34;4;2;7;6;75;0;66;99;101;77;7;748;3;2;4;9;0
6;2745;5;8;6;0;6;0;67;0;65;155;107;32;1;274;40;4;7;7;0
4;110;5;8;8;0;4;9;144;0;3;1;384;33;1;498;13;2;6;4;0
4;962;0;178;8;18;3;7;106;0;63;171;196;39;5;251;5;2;8;2;0
9;2041;6;178;6;8;8;5;14;0;66;144;54;88;6;618;173;2;0;5;0
5;1956;3;172;7;37;6;4;105;0;83;184;125;94;1;169;75;7;4;7;0
8;2534;5;151;1;6;4;6;13;0;8;8;918;0;9;625;196;9;1;8;0
2;273;7;118;8;12;5;4;33;0;5;18;1662;22;2;669;144;0;4;2;0
4;395;7;176;8;1;6;71;143;58;58;144;258;104;9;73;428;5;2;1;0
6;529;1;33;2;3;6;1;148;0;5;135;1899;19;2;585;95;0;1;8;0
3;201;4;113;8;2;2;4;94;0;2;135;759;25;5;958;104;1;9;0;0
7;1282;1;17;1;47;7;0;133;0;10;65;1676;22;4;11;384;8;6;8;0
9;674;4;11;9;1;3;9;68;5;8;92;1392;19;4;3;29;6;6;0;0
0;176;8;278;4;49;0;194;8;32;4;124;1309;156;1;58;85;1;2;4;0
6;2187;2;11;4;49;8;2;12;0;74;135;1257;77;2;12;17;6;6;4;0
0;268;8;99;6;1;1;1;4;8;5;78;1058;32;1;279;59;8;6;4;0
1;2167;4;76;2;5;1;4;81;0;87;15;274;85;4;431;635;2;1;5;0
8;1694;7;54;4;5;7;2;21;0;61;59;241;83;1;483;521;1;9;5;0
1;1641;9;88;0;3;4;7;76;0;3;92;1348;38;1;834;149;5;9;4;0
7;809;2;81;6;25;8;5;8;0;97;1;1878;67;1;98;486;5;1;0;0
1;1482;2;164;9;1;2;6;54;0;1;124;1762;95;2;426;646;3;0;0;0
6;761;8;2;7;5;2;0;65;0;8;11;1375;37;1;784;452;8;3;7;0
5;68;7;5;0;35;2;1;64;1;2;124;1221;74;7;12;161;5;6;2;0
1;119;6;86;4;6;3;133;10;18;5;152;168;227;6;6;95;7;3;6;0
5;236;2;46;1;69;6;4;17;0;99;96;1455;79;8;954;306;8;2;3;0
5;892;2;56;4;6;2;2;9;0;51;13;285;37;1;11;119;0;9;1;0
6;54;8;98;0;24;5;2;62;0;92;112;813;88;7;408;74;5;7;5;0
8;92;6;165;3;5;9;6;37;0;53;75;1562;42;9;99;288;5;7;9;0
7;1768;6;69;9;41;7;5;128;0;93;184;1089;49;3;296;451;9;6;9;0
7;2433;2;17;4;3;6;1;109;0;8;89;1308;78;4;1112;98;3;5;8;0
1;2578;3;97;7;8;1;3;131;0;57;109;607;36;7;94;99;5;6;2;0
9;208;1;98;9;1;5;9;88;0;68;113;1785;92;2;243;256;1;1;5;0
6;1028;0;46;6;3;1;8;135;0;3;113;1425;18;3;139;204;6;1;4;0
3;1201;4;5;4;11;6;9;129;0;64;18;301;32;8;1026;18;9;6;9;0
3;309;9;69;6;51;1;6;143;0;4;188;923;85;2;11;33;6;6;3;0
8;159;8;72;7;18;6;1;14;0;95;25;935;5;7;47;577;4;5;8;0
9;2243;8;72;4;67;2;2;28;0;0;137;1851;81;9;19;357;1;8;2;0
1;2878;1;92;7;1;2;7;57;0;7;153;150;93;3;3;49;1;9;9;0
2;2545;2;77;9;47;3;5;119;0;86;132;12;49;9;267;11;9;2;3;0
9;398;6;79;6;41;1;5;116;0;5;67;1529;62;1;1169;566;9;2;1;0
9;2541;2;91;1;56;7;3;13;0;8;19;1239;59;3;389;19;2;4;4;0
8;632;6;79;2;22;6;5;149;0;99;3;158;22;2;683;13;0;2;3;0
6;88;1;47;5;42;3;0;58;0;5;106;1485;6;5;1214;39;3;6;1;0
9;2205;2;89;1;2;3;0;48;0;62;147;1779;68;4;74;52;1;9;2;0
0;709;3;4;6;18;4;1;45;0;79;198;71;21;8;205;56;0;5;6;0
4;977;5;21;2;61;8;21;104;10;10;105;487;195;9;128;56;6;5;3;0
3;2693;4;26;6;31;4;7;96;0;1;21;1405;3;5;17;87;1;7;1;0
0;1246;5;53;7;13;2;5;52;0;59;152;1444;42;4;125;93;3;5;7;0
5;1208;4;51;3;3;2;6;143;0;75;166;1305;76;6;39;141;8;8;7;0
5;2519;7;13;1;9;0;3;63;0;91;139;611;71;7;17;193;5;8;6;0
1;2148;6;3;6;1;8;1;111;0;93;97;922;81;2;1007;54;2;8;5;0
7;965;4;38;2;55;2;6;3;1;1;137;1343;73;1;515;98;0;4;5;0
5;36;8;76;0;0;4;0;13;0;0;76;975;9;1;5;26;5;5;2;0
7;575;7;57;7;1;2;2;97;0;4;199;1363;33;6;118;286;7;5;8;0
8;769;4;11;7;2;8;9;87;0;61;174;1248;8;9;585;24;6;7;9;0
9;2679;5;96;8;26;7;0;14;0;51;32;1858;92;0;875;98;3;1;1;0
7;1087;8;112;2;14;4;7;38;9;6;83;766;61;7;20;503;5;4;0;0
0;1364;4;52;4;28;5;9;45;3;5;49;832;2;0;525;57;9;8;4;0
1;1281;6;268;2;7;5;1;149;0;3;2;374;9;8;78;252;4;1;7;0
3;1601;1;87;6;11;2;5;63;0;75;109;921;92;8;141;44;2;3;2;0
3;238;3;34;4;1;4;3;3;0;3;5;1642;23;5;14;18;1;1;0;0
0;234;4;9;5;13;4;3;16;2;3;178;1605;43;2;161;383;3;4;1;0
3;1223;1;23;5;5;3;9;88;0;2;167;914;98;8;369;115;1;5;4;0
7;35;1;2;7;35;7;5;93;0;3;102;253;25;0;412;41;1;5;9;0
1;1177;4;77;4;9;7;3;108;0;5;93;398;94;1;68;34;2;4;1;0
5;2645;9;25;8;8;1;7;67;0;8;143;614;72;8;35;4;2;7;3;0
4;1769;1;4;6;29;3;1;99;5;9;156;1878;45;6;13;231;1;1;2;0
7;2147;0;27;9;46;4;9;12;0;6;155;1505;9;9;658;333;5;1;0;0
1;2212;1;13;4;0;2;1;108;0;1;17;1437;56;1;37;107;3;6;8;0
1;63;2;182;3;27;1;139;119;39;1;194;135;17;9;26;125;8;1;2;0
2;2748;1;46;5;29;3;9;102;0;0;2;1895;59;7;127;118;7;4;8;0
5;2019;4;3;4;6;6;7;95;0;91;73;1773;85;6;45;277;4;5;0;0
6;1177;3;231;7;0;1;5;104;0;1;157;1121;73;2;578;97;9;9;0;0
9;2238;6;146;1;3;5;8;9;0;3;166;1654;4;9;462;57;1;4;9;0
8;1586;9;159;9;31;5;2;74;0;55;93;785;9;9;66;342;9;3;5;0
9;275;9;16;4;48;6;4;138;0;9;115;1827;5;5;395;5;8;7;8;0
9;1498;7;89;0;3;7;6;103;0;4;31;984;36;3;392;333;5;6;8;0
5;283;1;31;9;9;7;9;105;0;58;6;603;55;3;511;286;4;4;1;0
5;19;2;17;8;4;8;9;2;0;5;13;167;88;3;1046;252;1;6;1;0
2;255;7;3;5;1;4;2;11;0;85;101;648;88;8;318;428;4;2;6;0
9;277;1;88;2;23;6;9;148;0;57;106;64;28;5;413;369;9;9;4;0
6;1376;4;87;2;44;4;7;16;0;51;173;723;94;6;807;162;8;3;7;0
3;289;1;5;0;7;9;1;75;0;51;93;42;7;9;81;62;7;4;8;0
1;382;7;3;0;36;8;1;61;1;1;117;1198;6;4;47;72;2;3;6;0
9;1595;1;94;7;16;5;8;144;0;4;172;88;26;1;645;36;5;4;8;0
9;77;2;78;7;0;2;65;15;79;79;118;116;205;2;7;182;1;8;6;0
7;1579;1;1;7;2;7;6;55;3;5;19;15;12;7;988;87;6;0;4;0
2;1344;7;82;3;42;3;2;8;0;1;186;284;12;0;272;5;8;6;8;0
9;1518;7;296;8;14;7;6;107;0;52;103;1572;7;5;246;192;1;4;0;0
8;1346;1;85;4;4;5;36;139;8;8;116;361;191;1;29;592;6;8;8;0
1;1185;4;169;9;25;8;9;68;0;8;193;102;29;6;65;404;1;3;4;0
1;2218;1;53;8;24;6;0;3;0;2;11;675;34;1;853;83;4;6;7;0
7;694;1;97;5;1;8;107;144;7;5;6;1053;197;6;249;24;1;4;8;0
1;1708;4;20;2;1;9;1;61;0;65;137;777;72;0;139;10;2;4;6;0
3;1598;6;37;2;1;1;3;146;0;59;141;1898;37;1;785;34;2;1;8;0
3;578;5;36;5;56;3;9;63;9;7;179;776;1;1;109;11;4;0;9;0
1;837;9;61;7;25;5;9;3;0;6;193;1052;15;3;284;93;1;4;4;0
9;1188;6;59;7;4;5;5;136;0;73;164;1461;5;8;24;25;6;4;2;0
2;657;8;25;2;0;1;5;8;0;54;163;1042;15;8;718;353;1;7;0;0
6;1446;9;44;7;6;6;4;33;0;83;79;1517;44;4;65;167;8;1;8;0
3;1102;9;87;8;3;5;4;65;0;51;23;1627;4;6;302;334;3;6;3;0
4;935;1;201;6;55;0;164;78;61;61;38;784;21;9;124;147;9;2;3;0
4;2033;6;59;2;63;9;8;53;2;1;28;1091;43;8;544;33;6;1;6;0
4;2222;2;65;9;32;3;8;136;0;94;128;767;43;8;412;86;7;7;3;0
3;1309;8;23;8;17;1;8;64;0;6;2;1445;32;3;735;10;9;3;4;0
8;307;7;71;7;2;7;3;114;0;79;102;487;58;6;5;103;1;6;3;0
4;1195;1;253;6;59;2;9;14;0;5;1;1438;92;5;177;31;4;1;3;0
1;478;5;2;2;8;4;5;76;0;4;128;1466;5;2;31;59;5;9;2;0
4;18;3;15;5;7;5;7;127;0;2;163;1818;93;6;183;19;1;1;4;0
3;922;5;107;1;8;8;8;119;7;7;157;1117;173;0;427;245;4;5;2;0
1;1321;1;73;6;19;1;6;31;1;7;19;1063;62;3;27;71;4;8;4;0
2;2487;1;45;6;23;5;0;142;0;6;182;1066;41;5;48;184;0;9;5;0
5;1974;3;3;1;5;1;4;135;0;85;1;1271;79;5;16;165;1;2;9;0
4;74;0;3;2;34;3;2;139;0;1;2;1063;64;3;592;538;8;7;7;0
6;995;1;88;8;19;9;7;101;3;6;13;1377;96;2;685;26;9;8;9;0
1;2862;9;1;1;46;4;9;124;0;1;197;1049;91;2;758;458;8;1;9;0
9;1063;9;21;1;31;8;5;75;0;95;162;1405;11;1;3;87;6;6;5;0
1;679;1;234;8;4;1;66;10;67;67;182;1169;125;4;666;58;7;7;0;0
1;457;6;94;8;11;0;1;79;0;7;122;145;48;1;394;47;9;7;0;0
4;2835;6;56;3;59;6;4;129;0;1;134;1233;51;5;315;29;8;2;5;0
6;1722;1;6;7;11;4;1;1;0;2;33;1636;52;8;118;1;6;1;4;0
5;2272;1;42;5;9;3;9;147;0;0;65;1837;35;9;1006;24;4;6;6;0
9;2124;6;32;1;9;4;2;9;0;79;199;201;22;1;23;533;9;8;3;0
2;1629;1;89;5;8;4;5;11;0;71;9;124;3;4;36;113;6;5;3;0
5;88;9;263;1;15;3;3;129;0;5;16;1134;11;8;442;87;1;9;4;0
6;57;2;253;2;11;8;6;74;5;3;75;501;145;3;932;15;5;8;0;0
0;2792;5;13;2;18;1;3;3;0;62;24;142;98;1;25;496;2;2;3;0
5;642;1;54;0;5;1;4;86;0;3;7;1491;51;1;5;156;5;3;5;0
5;119;3;10;4;6;2;2;68;0;5;108;1661;93;1;38;198;4;8;1;0
2;2279;3;133;9;0;0;5;88;0;59;118;64;2;3;854;26;2;4;6;0
1;2363;1;79;8;3;6;2;138;0;68;198;1639;46;8;719;122;6;4;7;0
7;1394;4;297;1;9;7;8;74;0;5;112;1775;8;8;236;33;6;8;2;0
9;1854;4;2;2;4;3;5;143;92;92;4;494;217;7;19;52;1;6;1;0
3;2311;8;54;6;5;9;3;135;0;69;2;71;24;9;1152;77;6;5;5;0
2;941;7;53;2;12;5;5;77;0;77;19;861;73;0;363;15;3;8;0;0
2;1544;1;5;3;11;5;8;3;0;73;138;1513;29;2;216;224;3;5;7;0
8;496;1;11;1;3;7;1;122;0;6;101;1682;43;1;272;224;7;1;5;0
8;638;5;254;8;0;5;4;36;0;4;2;321;2;6;1;68;5;2;6;0
4;1162;9;3;1;5;1;2;145;0;84;14;452;32;0;116;12;4;1;5;0
7;1772;9;253;6;9;7;9;4;0;2;28;802;58;2;62;25;0;3;2;0
